3K4/N7/P7/3k4/7R/1p6/8/2nb3n w - - 0 1 | ♚♝♞♞♟ vs ♔♖♘♙ | w | 1-0
8/7N/8/3p3b/3k4/3P4/2PK4/8 w - - 0 1 | ♚♝♟ vs ♔♘♙♙ | w | 1-0
8/5R2/8/1k2q2p/1P5P/5p2/P1N4P/6Kn w - - 0 1 | ♚♛♞♟♟ vs ♔♖♘♙♙♙♙ | w | 1-0
8/1p6/8/4B3/8/5B2/1p1p3p/bk1K4 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♗♗ | w | 1-0
5n1N/8/2K4k/2N5/3b2P1/8/8/4B3 w - - 0 1 | ♚♝♞ vs ♔♗♘♘♙ | w | 1-0
8/1K6/8/1N2k3/1P5n/8/6BN/2b5 w - - 0 1 | ♚♝♞ vs ♔♗♘♘♙ | w | 1-0
8/1p1p2K1/2pB4/2P1Pk2/p1Pp4/3P4/5P2/8 w - - 0 1 | ♚♟♟♟♟♟ vs ♔♗♙♙♙♙♙ | w | 1-0
4K1B1/8/8/4pk2/7B/4P3/7p/8 w - - 0 1 | ♚♟♟ vs ♔♗♗♙ | w | 1-0
3n4/p7/k1P5/P7/K7/8/8/8 w - - 0 1 | ♚♞♟ vs ♔♙♙ | w | 1-0
8/3K4/8/3B4/8/2p5/7R/nk6 w - - 0 1 | ♚♞♟ vs ♔♖♗ | w | 1-0
k3r3/2B5/pQpK4/1bP5/8/8/4p3/8 w - - 0 1 | ♚♜♝♟♟♟ vs ♔♕♗♙ | w | 1-0
4r3/5k2/8/4B1p1/8/8/4K1P1/7R w - - 0 1 | ♚♜♟ vs ♔♖♗♙ | w | 1-0
6k1/7b/8/5pK1/5P2/8/6N1/8 w - - 0 1 | ♚♝♟ vs ♔♘♙ | w | 1-0
8/8/2p5/6N1/kP5r/3K4/8/1R6 w - - 0 1 | ♚♜♟ vs ♔♖♘♙ | w | 1-0
k7/8/1K6/3r4/8/5N2/2Pp4/5R1b w - - 0 1 | ♚♜♝♟ vs ♔♖♘♙ | w | 1-0
6Nk/p1R3r1/8/p5N1/8/K7/8/8 w - - 0 1 | ♚♜♟♟ vs ♔♖♘♘ | w | 1-0
3N4/8/2P4k/8/8/3B4/n6K/2b5 w - - 0 1 | ♚♝♞ vs ♔♗♘♙ | w | 1-0
R7/3k1p2/b7/8/4Nrp1/2p5/2K5/4B3 w - - 0 1 | ♚♜♝♟♟♟ vs ♔♖♗♘ | w | 1-0
6kr/2p4p/P1P2KbB/8/8/8/8/8 w - - 0 1 | ♚♜♝♟♟ vs ♔♗♙♙ | w | 1-0
8/r2NR3/3k1B2/1K1p4/8/8/8/8 w - - 0 1 | ♚♜♟ vs ♔♖♗♘ | w | 1-0
2k5/8/Pr1r4/8/1P6/1K1B3R/8/8 w - - 0 1 | ♚♜♜ vs ♔♖♗♙♙ | w | 1-0
8/1p3qp1/2p2p2/2P2P1p/7P/7k/1K3P2/3Q4 w - - 0 1 | ♚♛♟♟♟♟♟ vs ♔♕♙♙♙♙ | w | 1-0
1k6/2R3p1/1K6/R3p2P/8/8/6q1/8 w - - 0 1 | ♚♛♟♟ vs ♔♖♖♙ | w | 1-0
8/8/8/3K4/2B5/6p1/7k/5R2 w - - 0 1 | ♚♟ vs ♔♖♗ | w | 1-0
kr6/1pR5/1B4K1/8/8/7p/8/8 w - - 0 1 | ♚♜♟♟ vs ♔♖♗ | w | 1-0
k2K4/pp6/P3P3/8/8/8/1p6/8 w - - 0 1 | ♚♟♟♟ vs ♔♙♙ | w | 1-0
4N3/4Pr2/2p5/8/p7/k7/8/1K2B3 w - - 0 1 | ♚♜♟♟ vs ♔♗♘♙ | w | 1-0
8/8/8/6N1/8/7R/1K2PRn1/3q2k1 w - - 0 1 | ♚♛♞ vs ♔♖♖♘♙ | w | 1-0
7k/1p5p/3b4/8/3K2NB/8/8/8 w - - 0 1 | ♚♝♟♟ vs ♔♗♘ | w | 1-0
